Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",0,4.28,Ballantine Books,Paperback,459,1997,1996,,2022/09/05,currently-reading,currently-reading (#1),currently-reading,,,,1,0
33369254,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,"Fournier, Camille",,"=""1491973897""","=""9781491973899""",0,4.26,O'Reilly Media,Paperback,226,2017,2017,2022/09/27,2022/07/19,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2022/09/04,to-read,to-read (#12),to-read,,,,0,0
15824358,The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,"Watkins, Michael D.",,"=""1422188612""","=""9781422188613""",0,3.85,Harvard Business Review Press,Hardcover,304,2013,2003,,2022/09/15,to-read,to-read (#11),to-read,,,,0,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",0,4.15,Free Press,Paperback,372,2004,1988,,2022/09/01,to-read,to-read (#10),to-read,,,,0,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,2022/08/30,2022/07/11,,,read,,,,1,0
6383503,"Pai Rico, Pai Pobre",Robert T. Kiyosaki,"Kiyosaki, Robert T.",Sharon L. Lechter,"=""""","=""""",0,4.12,Elsevier,Paperback,192,2000,1997,,2022/08/29,,,read,,,,1,0
2595026,O Pequeno Príncipe,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Dom Marcos Barbosa,"=""8522005230""","=""9788522005239""",5,4.32,Agir,Paperback,96,2000,1943,,2022/08/29,,,read,,,,1,0
10396078,Confie em Mim,Harlan Coben,"Coben, Harlan",,"=""8599296469""","=""9788599296462""",5,3.95,Editora Sextante,Paperback,320,2009,2008,,2022/08/29,,,read,,,,1,0
35747076,Accelerate: Building and Scaling High-Performing Technology Organizations,Nicole Forsgren,"Forsgren, Nicole","Jez Humble, Gene Kim","=""1942788339""","=""9781942788331""",4,4.08,It Revolution Press,Paperback,257,2018,,,2022/08/29,,,read,,,,1,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",5,4.72,O'Reilly,ebook,562,,2015,,2022/08/29,,,read,,,,1,0
36762542,Outnumbered: Exploring the Algorithms That Control Our Lives,David Sumpter,"Sumpter, David",,"=""147294741X""","=""9781472947413""",0,3.94,Bloomsbury SIGMA,Hardcover,288,2018,2018,,2022/08/07,to-read,to-read (#9),to-read,,,,0,0
36697225,A sabedoria da insegurança: Uma mensagem para a Era da Ansiedade,Alan W. Watts,"Watts, Alan W.",,"=""""","=""""",0,4.15,Alaúde,Kindle Edition,114,2017,1951,,2022/07/26,to-read,to-read (#8),to-read,,,,0,0
19101125,Inteligência positiva: Por que só 20% das equipes e dos indivíduos alcançam seu verdadeiro potencial e como você pode alcançar o seu,Shirzad Chamine,"Chamine, Shirzad",,"=""""","=""9788539004577""",0,4.07,Fontanar,eBook Kindle,217,2013,2012,,2022/07/26,to-read,to-read (#7),to-read,,,,0,0
15798078,Decisive: How to Make Better Choices in Life and Work,Chip Heath,"Heath, Chip",Dan Heath,"=""0307956393""","=""9780307956392""",0,3.95,Crown Business,Hardcover,336,2013,2013,,2022/07/26,to-read,to-read (#6),to-read,,,,0,0
36417234,Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,"McCord, Patty",,"=""1939714095""","=""9781939714091""",0,4.08,Silicon Guild,Hardcover,228,2018,2018,,2022/07/26,to-read,to-read (#5),to-read,,,,0,0
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",4,4.13,Random House,Hardcover,375,2012,2012,2022/07/09,2022/05/29,,,read,,,,1,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",Joost Elffers,"=""0140280197""","=""9780140280197""",0,4.15,Penguin Books,Paperback,452,2000,1998,,2022/06/30,to-read,to-read (#4),to-read,,,,0,0
5907,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.","Jemima Catlin, Douglas A. Anderson, Michael Hague","=""""","=""""",4,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2022/06/14,,,read,,,,1,0
28185845,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418823""","=""9780553418828""",0,3.88,Crown,ebook,254,2016,2016,,2022/06/11,to-read,to-read (#3),to-read,,,,0,0
14907362,Arsène Lupin - Les Aventures Complètes,Maurice Leblanc,"Leblanc, Maurice",,"=""""","=""""",4,4.47,Collection Lupin,Kindle Edition,7964,2012,2012,,2022/05/29,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",5,3.97,Signet Classics,Mass Market Paperback,141,1996,1945,2022/06/05,2022/05/29,,,read,,,,1,0
59994485,"Cabeça Fria, Coração Quente",Abel  Ferreira,"Ferreira, Abel","Carlos  Martinho, João   Martins, Tiago  Costa, Vitor Castanheira","=""6599096387""","=""9786599096389""",5,4.61,Garoa Livros,Paperback,408,2021,2022,,2022/05/29,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2022/05/29,to-read,to-read (#2),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2022/05/29,to-read,to-read (#1),to-read,,,,0,0
